name,ccode,term,notes
Afghanistan,AFG,50,
Albania,ALB,70,
Algeria,DZA,50,
American Samoa,ASM,,
Andorra,AND,70,
Angola,AGO,50,
Anguilla,AIA,50,
Antarctica,ATA,,
Antigua and Barbuda,ATG,50,
Argentina,ARG,70,
Armenia,ARM,70,
Aruba,ABW,50,
Australia,AUS,70,
Austria,AUT,70,
Azerbaijan,AZE,50,
Bahamas,BHS,70,http://www.wipo.int/wipolex/en/text.jsp?file_id=215023
Bahrain,BHR,50,
Bangladesh,BGD,50,
Barbados,BRB,50,
Belarus,BLR,50,
Belgium,BEL,70,
Belize,BLZ,50,
Benin,BEN,50,
Bermuda,BMU,50,
Bhutan,BTN,50,
Bolivia,BOL,50,
Bonaire,BES,,
Bosnia and Herzegovina,BIH,70,
Botswana,BWA,50,http://www.wipo.int/wipolex/en/text.jsp?file_id=224944
Bouvet Island,BVT,,
Brazil,BRA,70,
British Indian Ocean Territory,IOT,,
Brunei Darussalam,BRN,50,
Bulgaria,BGR,70,
Burkina Faso,BFA,70,
Burundi,BDI,50,
Cambodia,KHM,50,
Cameroon,CMR,50,
Canada,CAN,50,
Cape Verde,CPV,50,
Cayman Islands,CYM,,
Central African Republic,CAF,50,"berne, law in french"
Chad,TCD,70,http://www.wipo.int/wipolex/en/text.jsp?file_id=260828
Chile,CHL,70,
China,CHN,50,
Christmas Island,CXR,,
Cocos (Keeling) Islands,CCK,,
Colombia,COL,80,
Comoros,COM,,berne
Congo,COG,50,http://www.wipo.int/wipolex/en/text.jsp?file_id=152625
Democratic Republic of the Congo,COD,50,
Cook Islands,COK,,
Costa Rica,CRI,70,
Croatia,HRV,70,
Cuba,CUB,50,
CuraÌ¤ao,CUW,50,
Cyprus,CYP,50,
Czech Republic,CZE,70,
C™te d'Ivoire  ,CIV,99,http://www.wipo.int/wipolex/en/text.jsp?file_id=125871
Denmark,DNK,70,
Djibouti,DJI,50,http://www.wipo.int/wipolex/en/text.jsp?file_id=260882
Dominica,DMA,70,
Dominican Republic,DOM,50,
Ecuador,ECU,70,
Egypt,EGY,50,
El Salvador,SLV,50,
Equatorial Guinea,GNQ,,berne
Eritrea,ERI,50,http://www.wipo.int/wipolex/en/text.jsp?file_id=244453
Estonia,EST,70,
Ethiopia,ETH,50,http://www.wipo.int/wipolex/en/text.jsp?file_id=234320
Falkland Islands (Malvinas),FLK,,
Faroe Islands,FRO,,
Fiji,FJI,50,
Finland,FIN,70,
France,FRA,70,*
French Guiana,GUF,,
French Polynesia,PYF,,
French Southern Territories,ATF,,
Gabon,GAB,50,http://www.wipo.int/wipolex/en/text.jsp?file_id=362136
Gambia,GMB,50,
Georgia,GEO,70,
Germany,DEU,70,
Ghana,GHA,70,
Gibraltar,GIB,,
Greece,GRC,70,
Greenland,GRL,,
Grenada,GRD,50,http://www.wipo.int/wipolex/en/text.jsp?file_id=378289
Guadeloupe,GLP,,
Guam,GUM,,
Guatemala,GTM,75,
Guernsey,GGY,,
Guinea,GIN,80,http://www.wipo.int/wipolex/en/text.jsp?file_id=328659
Guinea-Bissau,GNB,50,http://www.wipo.int/wipolex/en/text.jsp?file_id=272169
Guyana,GUY,50,
Haiti,HTI,,berne
Heard Island and McDonald Mcdonald Islands,HMD,,
Holy See (Vatican City State),VAT,70,
Honduras,HND,75,
Hong Kong,HKG,50,
Hungary,HUN,70,
Iceland,ISL,70,
India,IND,60,
Indonesia,IDN,50,
"Iran, Islamic Republic of",IRN,50,
Iraq,IRQ,50,
Ireland,IRL,70,
Isle of Man,IMN,,
Israel,ISR,70,
Italy,ITA,70,http://www.wipo.int/wipolex/en/text.jsp?file_id=301483
Jamaica,JAM,95,
Japan,JPN,50,
Jersey,JEY,,
Jordan,JOR,50,
Kazakhstan,KAZ,50,
Kenya,KEN,50,
Kiribati,KIR,50,
"Korea, Democratic People's Republic of",PRK,50,http://www.wipo.int/wipolex/en/text.jsp?file_id=226324#LinkTarget_148
"Korea, Republic of",KOR,70,
Kuwait,KWT,50,http://www.wipo.int/wipolex/en/text.jsp?file_id=206853#LinkTarget_339
Kyrgyzstan,KGZ,50,
Lao People's Democratic Republic,LAO,50,
Latvia,LVA,70,http://www.wipo.int/wipolex/en/text.jsp?file_id=354961
Lebanon,LBN,50,
Lesotho,LSO,50,
Liberia,LBR,50,
Libya,LBY,25,http://www.wipo.int/wipolex/en/text.jsp?file_id=234541#LinkTarget_253
Liechtenstein,LIE,70,
Lithuania,LTU,70,
Luxembourg,LUX,70,
Macao,MAC,50,
"Macedonia, the Former Yugoslav Republic of",MKD,70,
Madagascar,MDG,70,
Malawi,MWI,50,
Malaysia,MYS,50,
Maldives,MDV,50,
Mali,MLI,50,
Malta,MLT,70,
Marshall Islands,MHL,,
Martinique,MTQ,,
Mauritania,MRT,,berne
Mauritius,MUS,,
Mayotte,MYT,,
Mexico,MEX,100,http://www.wipo.int/wipolex/en/text.jsp?file_id=340767
"Micronesia, Federated States of",FSM,50,
"Moldova, Republic of",MDA,70,
Monaco,MCO,50,
Mongolia,MNG,50,
Montenegro,MNE,70,
Montserrat,MSR,,
Morocco,MAR,50,
Mozambique,MOZ,70,
Myanmar,MMR,,https://en.wikipedia.org/wiki/Copyright_law_of_Myanmar
Namibia,NAM,50,
Nauru,NRU,50,
Nepal,NPL,50,
Netherlands,NLD,70,
New Caledonia,NCL,,
New Zealand,NZL,50,
Nicaragua,NIC,70,
